times,theta_mu,theta_var,range_mu,range_var
1398179934.163894,-1.820490906186968,1.9429655906793685e-06,1.967399273407404,0.0001247359246871283
1398179934.284622,-1.8159164257937215,1.4035606458869581e-06,1.9636717706773652,0.000128180301698553
1398179934.387183,-1.8120934892647382,9.276522011471635e-07,1.9617570416171768,0.00014457941705142135
1398179934.483224,-1.8089013572908086,5.863926590192178e-07,1.9594231539603884,0.00015044017062818755
1398179934.595894,-1.8050884904792786,1.9846845262476142e-06,1.9562105089356718,0.0001485643658739079
1398179934.70379,-1.800880847175406,1.0029303826017952e-06,1.9524340022673876,0.00014651114711652967
1398179934.81986,-1.796684309733895,1.989199891290167e-06,1.948751270078282,0.00015805874185530243
1398179934.92745,-1.7924779519873162,9.96680029858935e-07,1.9453340341910403,0.00016576267749302594
1398179935.043803,-1.7886454529332358,1.4863133952591138e-06,1.9417236332207313,0.00015876318067040808
1398179935.172099,-1.7840823206845378,1.943766141463362e-06,1.9379637005037569,0.0001609084873101588
1398179935.280514,-1.779544303426249,1.5329040150006565e-06,1.9344913455988353,0.00015772471469298403
1398179935.408046,-1.7750194472995975,1.919129477836695e-06,1.9307778842098025,0.00014880189745700503
1398179935.510736,-1.7711256468418286,6.152501225115898e-07,1.9278769820664872,0.00014475096458681162
1398179935.623719,-1.767297496346721,1.9331100097062615e-06,1.9251015358598969,0.00013989366658732967
1398179935.729646,-1.7634515691587807,6.379233070385005e-07,1.9226480085961968,0.00013785993820912988
1398179935.828092,-1.7599585625576268,1.355085771691844e-06,1.9200527804049727,0.00014079169056000528
1398179935.947983,-1.7553917109812567,1.9624379514639045e-06,1.9160594410258136,0.00013340312926158067
1398179936.053151,-1.7512186185768461,9.4897089701409e-07,1.9128944065407438,0.00013418358072485553
1398179936.179868,-1.746998127360396,1.959163543940245e-06,1.9100412162809584,0.00014823397231994635
1398179936.281753,-1.7424682127081026,1.4493282438020797e-06,1.9074347402666416,0.00015492845788036538
1398179936.386376,-1.7386125959854999,9.423196450488171e-07,1.9049692459969192,0.00016129599025715508
1398179936.481767,-1.7354630067322627,5.911349693945349e-07,1.9026720429777788,0.00016212351034510205
1398179936.587838,-1.7316101572755795,2.020344814990966e-06,1.9004521824454794,0.00017296769102118084
1398179936.700152,-1.7274392964207623,9.688137241953717e-07,1.8980789873888506,0.00016830716162912472
1398179936.796682,-1.7242284441473417,6.139162153263465e-07,1.8965994469508456,0.0001709258387185469
1398179936.903747,-1.7204317784973568,1.9048712042924838e-06,1.895008554277043,0.0001861147072713629
1398179937.00451,-1.7165479052527064,6.050918825375443e-07,1.8932272220876012,0.00019256803933592002
1398179937.107824,-1.7127253710878136,1.9370308803475474e-06,1.8913182769912862,0.00020424376842060498
1398179937.207219,-1.7085160426898978,1.041657705937456e-06,1.889575255138698,0.00021510636225936496
1398179937.304046,-1.7050339783519255,9.405671298719335e-07,1.8885495325261639,0.00020782509297705032
1398179937.401336,-1.702220152839333,3.0999403160949865e-07,1.8878568969474554,0.00021123138497996312
1398179937.49752,-1.6987167508388763,1.915477987636553e-06,1.887070191929886,0.00023300314381459336
1398179937.615786,-1.694173245312002,1.4721856711443641e-06,1.8858958640888381,0.00027996445896418264
1398179937.715345,-1.689978132404386,1.4240947811788848e-06,1.8858597918871276,0.0003461796845552925
1398179937.827487,-1.686134478623341,9.798246573509168e-07,1.885770032995018,0.00036668318269062844
1398179937.939944,-1.6822730529850127,1.3761365136263057e-06,1.8853901614039796,0.00039216917206016185
1398179938.060515,-1.6780768537512303,1.4109348784513527e-06,1.8852587001844165,0.00043643117409585143
1398179938.179803,-1.673530481087296,1.9620724970319076e-06,1.8840530206148967,0.00046188955784796237
1398179938.291821,-1.6689790822950967,1.424373885545755e-06,1.8829506202639854,0.0004763525334041701
1398179938.419977,-1.6644212377748402,2.0175680574929194e-06,1.8825609266396415,0.0004636499517924245
1398179938.5231,-1.6605851089071133,6.42743411200466e-07,1.8822807289821781,0.00044721753214965135
1398179938.623908,-1.6570940447327673,1.3769412330273486e-06,1.882028105273368,0.00044143188747589474
1398179938.743778,-1.6528792520611917,1.3823783266734118e-06,1.8818456885113857,0.00043463881763826736
1398179938.840758,-1.6490362554590199,9.443697881862742e-07,1.8820095669778922,0.00043445178627825705
1398179938.955909,-1.6448345803834044,1.9057900943987082e-06,1.881815908673202,0.0004556465275744773
1398179939.06584,-1.6406124653118173,1.0085648836301406e-06,1.8820965219332622,0.0004657619192045711
1398179939.161041,-1.6367800828307892,1.4667417905386306e-06,1.882555975979045,0.0004813629556653031
1398179939.287874,-1.632247183913652,1.999809180456422e-06,1.8830382734679614,0.0005066665030514591
1398179939.408032,-1.628030861520298,9.672721836002478e-07,1.8834722499772654,0.0005070840103963202
